Art. Esp,Spanisch,Deutsch,Art. PT.,Portugiesisch
la,abuela,Grossmutter,a,avó
el,aceite,Öl,o,azeite
el,aeropuerto,Flughafen,o,aeroporto
el,aire,Luft,o,ar
el,alcohol,Alkohol,o,álcool
la,aldea,Dorf,a,aldera
la,alegría,Freude,a,alegria
la,algodón,Baumwolle,a,algodão
el,almuerzo,Mittagessen,o,almoço
la,alternativa,Alternative,a,alternativa
la,amistad,Freundschaft,a,amizade
la,análisis,Analyse,a,análise
el,ángel,Engel,o,anjo
lo,año,Jahr,o,ano
la,ansia,Begierde,a,ânsia
la,aparato,Gerät,o,aparelho
el,apellido,Nachname,o,apelido
la,araña,Spinne,a,aranha
el,árbol,Baum,a,árvore
la,arena,Sand,a,areia
el,ascensor,Aufzug,o,elevador
el,asunto,"Affäre, Angelegenheit",o,assunto
el,ataque,Angriff,o,ataque
el,autobús,Bus,o ,autocarro
el,autor,Autor,o,autor
la,aventura,Abenteuer,a,aventura
el,avión,Flugzeug,o,avião
el,azúcar,Zucker,o,açúcar
la,bandera,Flagge,a,bandeira
el,baño,Toilette,o,sanitário
el,barco,Boot,o,barco
el,batería,Batterie,a,pilha
la,belleza,Schönheit,a,beleza
la,bicicleta,Fahrrad,a,bicicleta
la,bola,Ball,a,bola
el,bolígrafo,Kugelschreiber,a,caneta
la,bolsa,Tasche,a,bolsa
la,bondad,Güte,a,bondade
la,botella,Flasche,a,garrafa
el,brazo,Arm,o,braço
el,caballo,Pferd,o,cavalo
el,cabello,Haar,o,cabelo 
la,cabeza,Kopf,a,cabeça
la,cadena,Kette,a,cadeia
la,caída,Sturz,a,queda
la,caja,Kasse,a,caixa
el,calendario,Kalender,o,calendário
la,calle,Strasse,a,rua
el,calzado,Schuh,,sapato
la,cama,Bett,a,cama
la,cámara,Kamera,a,câmera
el,camarero,Kellner,o,empregado
el,camión,LKW,o,camião
el,campo,Feld,o,campo
la,cantidad,Menge,a,quantidade
la,cara,Gesicht,a,cara
la,carne,Fleisch,a,carne
la,carrera,Karriere,a,carreira
el,cariño,Zuneigung,o,carinho
la,carta,Brief,a,carta
la,cartera,Brieftasche,a,carteira
la,cartera,Geldbeutel,a,carteira
el,castillo,Schloss,o,castelo
la,causa,Ursache,a,causa
la,célula,Zelle,a,célula
el,cercanías,S-Bahn,o,eléctrico
el,cerebro,Gehirn,o,cérebro
el,olor,Geruch,o,cheiro
la,chica,Mädchen,a,menina
el,cielo,Himmel,o,céu
la,ciencia,Wissenschaft,a,ciência
la,cine,Kino,o,cinema
la,ciudad,Stadt,a,cidade
el,ciudadano,Bürger,o,cidadão
el,coche,Auto,o,carro
